Set, name,GC02,GC03,GC04,GC05,GC06,GC07,GC08,GC09,GC10,GC11,GC12,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DC10,DC11,DC12,	Specialty,S1,S2,S3,S4,S5,S6,	SubA, SubB, TagA, TagB,	PriorityS,	PriorityT,OC02,OC03,OC04,OC05,OC06,OC07,OC08,OC09,OC10,OC11,OC12,RO02,RO03,RO04,RO05,RO06,RO07,RO08,RO09,RO10,RO11,RO12,	SetA, TT, Card Rating,oc_prob,total_points,dq_prob,pa_prob,sub_prob,xx_prob,submission,tag_team_save,SubX,SubY,TagX,TagY,DisplayName,Division
SuperSet '83,Abdullah the Butcher (needs update),OC/TT,OC,DC,DC,OC,OC,DC,OC,OC,DC,DC,A,Reverse,B,B,A,A,B,B,A,C,B,Foreign Objects,10 P/A,12,12,8,10,8,"[""2""","""6""]","[""6""","""12""]",3,1,Ropes,Throw Out Of Ring (DQ),Bite Opponent's Neck 7,Foreign Objects (S),Choke Against Ropes 8,Forearm Smashes 6,Wild Elbow To Face 7 (xx),Knee To Groin 9,Ram Head Into Bell 7,Nerve Pinch 8 P/A,Tear At Chest Hair 6,N/A,N/A,Throw Out Of Ring (DQ),Bodyslam Into Crowd 10,N/A,Knee Smash To Pelvis 6,Cross Body Block 7,Choke Against Ropes 10,N/A,Forearm To Nose 6,N/A,SuperSet '83,2.8%,7.6,58.3%,4.849,3.4%,4.3%,0.0%,8.1%,41.7%,72.2%,2,6,6,12,AbbyButcher,Super Heavyweight
SuperSet '83,Abdullah the Butcher,OC/TT,OC,DC,DC,OC,OC,DC,OC,OC,DC,DC,A,Reverse,B,B,A,A,B,B,A,C,B,Foreign Objects,10 P/A,12,12,8,10,8,"[""2""","""6""]","[""6""","""12""]",3,1,Ropes,Throw Out Of Ring (DQ),Bite Opponent's Neck 7,Foreign Objects (S),Choke Against Ropes 8,Forearm Smashes 6,Wild Elbow To Face 7 (xx),Knee To Groin 9,Ram Head Into Bell 7,Nerve Pinch 8 P/A,Tear At Chest Hair 8,Throw Out Of The Ring (DQ),Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),Bodyslam Into Crowd 10,N/A,Knee Smash To Pelvis 6,Cross Body Block 7,Choke Against Ropes 10,N/A,Forearm To Nose 6,N/A,SuperSet '83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AbbyButcher,Super Heavyweight
SuperSet '83,Andre the Giant,DC,DC,DC,OC,OC,OC,OC,OC/TT,DC,DC,OC,A,Reverse,B,C,B,A,A,B,B,C,A,Big Squash,15 P/A,14 P/A,13 P/A,13 P/A,14,15,"[""2""]",,"[""8""","""12""]",5,2,Ropes,Throw Into Turnbuckle 9,Bearhug 8*,French Head Butt 8 (xx),Arm Twist 6,Giant Power Slam 9,Kick To Face 7,Suplex 8,Flying Body Press 9 P/A,Big Squash (S),Sit Foe On Top Rope 10,Throw Thru Ropes (DQ),Smash Into Turnbuckle 8,N/A,Body Block 6 P/A,N/A,Body Slam 7 P/A,Body Slam 8 P/A,Redwood Knee Drive 10,Bearhug 9*,Bearhug 9*,Bearhug 10*,SuperSet '83,11.1%,11.5,69.4%,6.234,0.1%,9.2%,6.1%,7.7%,2.8%,41.7%,2, ,8,12,AndGiant,Super Heavyweight
SuperSet '83,Bob Backlund,DC,OC,DC,OC,OC,OC,OC,DC,DC,OC/TT,OC,B,B,A,A,A,A,C,Reverse,B,B,A,Chicken Wing,10,9*,10,9*,12,10*,"[""2""","""3""]","[""2""","""5""]",5,1,Suplex 11 P/A,Spin Under Take Down 8,Chicken Wing (S),Cross Ankle Pick Up 6 (xx),Atomic Spine Crusher 9,Monkey Flip 8 P/A,Vertical Shoulder Block 7,Body Slam 8 P/A,Reverse Backbridge 9*,Hammer Lock 8,Ropes,Throw Out Of Ring (DQ),N/A,Monkey Flip 6,Shoulder Block 8,Back Drop 7,Chicken Wing (S),Arm Drag 7,Body Slam 9 P/A,Kick To Kneecap 8,N/A,Chicken Wing (S),SuperSet '83,5.6%,11.8,69.4%,6.298,0.1%,21.4%,8.9%,7.7%,8.3%,27.8%,2,3,2,5,BobBack,World Champion
SuperSet '83,Crusher Blackwell (needs update),DC,DC,DC,DC,OC,DC,OC,OC,OC/TT,OC,OC,A,A,A,A,A,B,B,C,B,Reverse,B,Big Squash,12,10 P/A,10,10,14,12,"[""2""","""5""]","[""2""","""6""]",3,2,Crushing Headlock 10,Inverted Bearhug 10,Spin Under Takedown 6,Big Squash (S),Body Slam 9,Airplane Spin 6,Kick To Short Rib 7,Back Breaker 5 (xx),Shoulder To Midsection 8,Aerial Kneedrop 6 P/A,Ropes,N/A,Big Squash (S),Big Squash (S),Big Squash (S),N/A,Kneedrop Off Top Rope 5,N/A,Cross Bodyblock 8,Shoulder Smash 6,N/A,N/A,SuperSet '83,8.3%,7.7,55.6%,4.844,0.0%,4.2%,0.0%,6.2%,27.8%,41.7%,2,5,2,6,CrushBlack,Super Heavyweight
SuperSet '83,Crusher Blackwell,DC,DC,DC,DC,OC,DC,OC,OC,OC/TT,OC,OC,A,A,A,A,A,B,B,C,B,Reverse,B,Big Squash,12,10 P/A,10,10,14,12,"[""2""","""5""]","[""2""","""6""]",3,2,Crushing Headlock 10,Inverted Bearhug 10,Spin Under Takedown 6,Big Squash (S),Body Slam 8,Airplane Spin 6,Kick To Short Rib 7,Back Breaker 5 (xx),Shoulder To Midsection 8,Aerial Kneedrop 6 P/A,Ropes,N/A,Big Squash (S),Big Squash (S),Big Squash (S),N/A,Kneedrop Off Top Rope 5,N/A,Cross Bodyblock 8,Shoulder Smash 6,N/A,N/A,SuperSet '83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CrushBlack,Super Heavyweight
SuperSet '83,Nick Bockwinkle,DC,DC,DC,OC/TT,OC,OC,OC,DC,OC,DC,OC,B,B,A,A,C,A,Reverse,A,B,B,A,Sleeper,10*,12,12*,12,12,10*,"[""2""","""3""]","[""7""","""12""]",5,2,Toss Thru Ropes (DQ),Dropkicks 9,Sleeper (S),Body Slam 8,Standing Arm Lock 7,Continuous Forearms 8,Hip Roll 7 (xx),Knee Slam To Lower Back 6,Piledriver 9 P/A,Interference By Heenan 10,Ropes,N/A,Sleeper (S),Sleeper (S),N/A,N/A,Kick To Rib Cage 8,Flying Shoulder Smash 7,Cross Body Block 7 P/A,Spin Under Take Down 6,Throw Out Of Ring (DQ),Choke Hold By Heenan 7,SuperSet '83,11.1%,11.1,66.7%,6.014,2.0%,5.8%,2.9%,9.3%,8.3%,58.3%,2,3,7,12,NickBock,World Champion
SuperSet '83,Jack Brisco,OC,OC,DC,OC,DC,OC,OC/TT,DC,DC,OC,OC,B,A,C,Reverse,A,A,B,A,A,B,B,Figure-four Leglock,12,10*,8,10,8,12*,"[""2""","""4""]","[""8""","""12""]",4,3,Ropes,Dropkick To Face 9,Half Boston Crab 9,Win Test Of Strength 8,Forearm Smashes 6,Arm Drag And Twist 7,Full Nelson 6,Back Suplex 9 (xx),Figure-four Leglock (S),Sleeper 8*,Monkey Flip 5 P/A,Aerial Backdrop 5,Hip Roll 10,N/A,N/A,Shoulder Smash 6,Dropkicks 6,N/A,Cross Body Block 10,N/A,Sleeper 8*,Reverse Cradle 6 P/A,SuperSet '83,13.9%,9.1,58.3%,5.184,0.0%,1.7%,5.0%,6.5%,16.7%,41.7%,2,4,8,12,JackBris,Legend
SuperSet '83,Dick the Bruiser,OC,DC,DC,DC,DC,OC,OC,OC,OC/TT,OC,DC,B,A,A,C,B,A,A,Reverse,B,B,A,Kneedrop,15,10,10,12,10 P/A,15,"[""2""","""6""]","[""2""","""7""]",3,2,Ram Head Into Ringpost 6,Shoulder Flip 7,Stomp Opponent 6,Kneedrop (S),Standing Armlock 7,Bodyslam Onto Ropes 8,Elbow Smash To Throat 9,Headlock 6 (xx),Smash With Chair 10,Ropes,Piledriver 6 P/A,N/A,Throw Out Of Ring (DQ),N/A,Jump Off Top Rope 10,Body Smash 7,Shoulder Flip 6,Kick To Knee Cap 6,N/A,Spin Under Takedown 8,N/A,N/A,SuperSet '83,8.3%,8.1,58.3%,5.389,0.2%,2.7%,0.0%,6.5%,41.7%,58.3%,2,6,2,7,DaBruiser,Legend
SuperSet '83,Ted DiBiase,OC,DC,DC,DC,DC,OC,OC/TT,OC,OC,OC,OC,A,B,Reverse,B,A,A,A,B,B,C,A,Abdominal Stretch,12,10,8*,8*,9,11,"[""2""","""6""]","[""7""","""12""]",3,3,Bearhug 8*,Slash With Foreign Object 9,Choke Against Ropes 8,Dropkicks 7,Flying Body Press 7,Slam Into Turnbuckle 8,Figure Four Leglock 7 (xx),Abdominal Stretch (S),Leg-dive Take Down 8,Shoulder Block 6,Ropes,Throw Out Of Ring (DQ),N/A,N/A,N/A,Dropkick Into Crowd (DQ),Shoulder Smash 8,Cross Body Block 9,N/A,N/A,Flying Body Press 5 P/A,Reverse Cradle 8 P/A,SuperSet '83,13.9%,8.0,61.1%,5.288,0.3%,0.1%,4.0%,8.5%,41.7%,58.3%,2,6,7,12,TedDib,Young Star
SuperSet '83,Ric Flair (updated),DC,OC,DC,DC,OC,OC,OC/TT,OC,OC,DC,DC,A,A,B,Reverse,C,A,A,B,B,A,B,Figure-Four Leglock,12,10*,12,11*,10*,13,2,3,2,7,5,3,Back Slide 10,Front Cradle 9 P/A,Piledriver 8,Snap Mare 8,Horizontal Full Nelson 7,Leg-Dive Take-Down 7,Smash To Face 8 (xx),Figure-Four Leglock (S),Bow & Arrow 7*,Abdominal Stretch 6,Ropes,Inside Cradle 9 P/A,N/A,Chop to Throat 7,Illegal Use of Ropes 8,N/A,Chop To Throat 7,Flying Elbow 10,Jump Off Top Rope 7 P/A,Throw Out Of Ring (DQ),N/A,N/A,SuperSet '83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RicF,World Champion
SuperSet '83,Mr. Fuji,OC,OC,DC,DC,DC,OC/TT,OC,DC,OC,OC,OC,Reverse,C,A,A,A,A,A,B,B,B,B,Martial Arts,9 P/A,10,9,8*,9,10,"[""2""","""7""]","[""2""","""9""]",3,3,Side-kick To Throat 8,Ropes,Claw Hold 7,Double Head Smash 6 (xx),Kick To Groin 7,Osakan Chop To Ribcage 7,Elbow Smash 5,Japanese Choke Hold 6,Martial Arts (S),Ram Head Into Turnbuckle 6,Throw Salt Into Eyes 10*,N/A,N/A,Judo Chop To Stomach 5,Backdrop 5,N/A,Shoulder Smash 6,N/A,Elbow To Throat 8,Judo Chop To Face 10,N/A,Throw Salt Into Eyes 12*,SuperSet '83,16.7%,6.8,55.6%,4.362,0.0%,0.8%,2.4%,6.2%,58.3%,83.3%,2,7,2,9,MrF,Midcard
SuperSet '83,Dory Funk Jr.,DC,DC,OC,DC,OC,OC,OC,OC/TT,DC,DC,OC,A,B,B,C,A,A,A,Reverse,B,B,A,Spinning Toe Hold,12,10 P/A,15 P/A,12,12,10,"[""2""","""4""]","[""2""","""7""]",4,2,Ropes,Cross Ankle Pickup 7,Boston Crab 10,Ram Head Into Steel Post 6,Standing Leg Lock 5 (xx),Armdrag 6,Shoulder Smash 7,Spinning Toe Hold (S),Sleeperhold 9*,Belly To Back Suplex 10,Stomp Head Into Canvas 10,Throw Out Of Ring (DQ),N/A,Jump Off Top Rope 6 P/A,N/A,Cross Body Block 6,Inverted Bodyslam 7,Shoulder Smash 7,N/A,Spinning Toe Hold (S),N/A,Bodyslam Onto Concrete (DQ),SuperSet '83,11.1%,9.7,66.7%,5.726,0.1%,2.7%,5.6%,9.3%,16.7%,58.3%,2,4,2,7,HossF,Legend
SuperSet '83,Terry Funk,OC,DC,DC,OC,OC/TT,OC,DC,DC,OC,DC,OC,B,A,Reverse,A,B,A,A,B,C,A,A,Spinning Toe Hold,12,14 P/A,10,11,11,13 P/A,"[""2""","""5""]","[""7""","""12""]",4,3,Ropes,Smash With Fake Nwa Belt 5,Monkey Flip 9,Spinning Toe Hold (S),Arm Lock 7,Shoulder Clamp 6,Close Fisted Slug 10 (xx),Hammer Lock 8,Leg Dive Takedown 6,Figure-four Leglock 5*,Dropkicks 8,N/A,Dropkick Out Of Ring (DQ),Spinning Toe Hold (S),Shoulder Smash 8 P/A,Shoulder Smash 8,Shoulder Smash 8,N/A,N/A,Ram Head Into Ringpost 6,Choke Against Rope 10,N/A,SuperSet '83,13.9%,8.9,55.6%,5.107,0.1%,2.3%,3.1%,7.7%,27.8%,58.3%,2,5,7,12,TerryF,Legend
SuperSet '83,Hulk Hogan,DC,DC,OC/TT,DC,OC,OC,OC,OC,DC,DC,OC,A,B,B,A,A,A,C,Reverse,A,B,B,Bearhug,12,11,10*,10*,12,11 P/A,"[""2""","""3""]","[""2""","""8""]",5,2,Ropes,Full Pressure Headlock 8,Spinal Backbreaker 8,Bearhug (S),Body Slam Onto Top Rope 6,Double Elbow Smash 9,Head First Bodyslam 7,Stomp On Face 9 (xx),Throat Lift 8,Leg Lock Chokehold 6*,Slam Into Turnbuckle 9,N/A,N/A,Throw Out Of Ring (DQ),Backdrop 9 P/A,Elbow Smash 5 P/A,Body Block 8,Bearhug (S),Bearhug (S),Kick To Midsection 6,N/A,N/A,SuperSet '83,8.3%,11.2,66.7%,6.120,0.2%,1.8%,6.3%,7.4%,8.3%,72.2%,2,3,2,8,HulkHo,Super Heavyweight
SuperSet '83,Rick Martel,OC,DC,DC,OC,DC,OC,OC,DC,OC/TT,OC,DC,B,A,A,Reverse,A,C,A,B,B,A,B,Dropkicks,10,10,12,8,8 P/A,10 P/A,"[""2""","""5""]","[""8""","""12""]",5,2,Abdominal Stretch 8,Ropes,Boston Crab 6*,Elbow Smash 6 (xx),Flying Body Press 8,Arm Drag And Twist 9,Dropkicks (S),Reverse Monkey Flip 8,Suplex 9 P/A,Full Nelson Into Ropes 9,Headlock 6,N/A,Reverse Cradle 10 P/A,N/A,Dropkicks (S),Spin Under Takedown 8,Spin Under Takedown 8,Back Drop 6,Flying Body Smash 6,N/A,Flying Body Press 10,N/A,SuperSet '83,8.3%,10.5,58.3%,5.547,0.0%,7.9%,4.9%,6.5%,27.8%,41.7%,2,5,8,12,RickM,Young Star
